block_num,run_type,exe_time
19711271,native,32522126.653333332
19711271,aot,32849915.3
19083833,native,25388440.611398965
19083833,aot,25503430.78606965
19522669,native,43077090.26086956
19522669,aot,43785525.63636363
19000393,native,53866196.50537635
19000393,aot,60863654.88888889
19490948,native,40292486.45528455
19490948,aot,41613337.96666667
19573793,native,31786217.72903226
19573793,aot,32043251.679738563
19797172,native,40183171.134920634
19797172,aot,39165619.87301587
19560881,native,31439958.741721854
19560881,aot,33334367.67549669
19212955,native,23138851.809302326
19212955,aot,23246913.389423076
19845330,native,30138478.552941177
19845330,aot,30224797.466666665
20187774,native,12703141.27012987
20187774,aot,13440894.805194804
20237509,native,7514803.913235294
20237509,aot,7228164.677842566
19929973,native,29142339.906432748
19929973,aot,28396570.830409355
19589338,native,37403525.19565217
19589338,aot,37831667.23846154
19617278,native,37108180.97709924
19617278,aot,37984836.358778626
19491123,native,32918919.20261438
19491123,aot,33995615.406666666
19598635,native,26096765.15183246
19598635,aot,26517220.539325844
19515902,native,37454800.81481481
19515902,aot,37253828.45038168
19408267,native,36221099.683823526
19408267,aot,37101177.3115942
20222601,native,28863580.323699422
20222601,aot,28219055.397727273
19596899,native,36630635.75735294
19596899,aot,33710366.11486486
19020056,native,18566709.486792453
19020056,aot,19313121.225925926
20334440,native,16397457.854237288
20334440,aot,16645344.97153025
20185672,native,37287789.65625
20185672,aot,39444754.309523806
19988426,native,28240078.53409091
19988426,aot,28876876.870588236
19129943,native,23046435.027777776
19129943,aot,22593310.590697676
19906706,native,29271440.86904762
19906706,aot,29372902.76470588
19609351,native,10418421.415053764
19609351,aot,10582058.040772533
20308216,native,28128263.288235296
20308216,aot,29621441.953757226
19091080,native,37083449.879699245
19091080,aot,37301666.50381679
19982870,native,26434876.683333334
19982870,aot,26785640.770491805
20341191,native,34298983.46206897
20341191,aot,35663510.93571428
20138707,native,4529611.640776699
20138707,aot,4591489.86
19282047,native,19061635.282352943
19282047,aot,19368787.415686276
20163335,native,34245306.82269503
20163335,aot,36502516.74125874
19967788,native,22014821.80995475
19967788,aot,23945757.45581395
19396444,native,5850208.4294258375
19396444,aot,5801814.027218935
19835866,native,65677131.323529415
19835866,aot,64888569.184210524
20137633,native,20375254.488
20137633,aot,19994533.6625
19656130,native,30356189.48192771
19656130,aot,31581400.7278481
19208775,native,14495578.023809524
19208775,aot,14180066.825714286
19832626,native,28546606.91011236
19832626,aot,28488946.771929823
19530187,native,26543407.860103626
19530187,aot,26835822.11235955
19586565,native,42533906.28333333
19586565,aot,41892329.28448276
19282047,native,20534748.703252032
19282047,aot,20522201.195020746
20163335,native,34931667.326241136
20163335,aot,35612294.4822695
19967788,native,21881685.592920355
19967788,aot,22496139.48623853
19396444,native,5594145.627729258
19396444,aot,5449857.135076253
20341191,native,34352543.0
20341191,aot,35087132.80141844
20138707,native,4408207.020069808
20138707,aot,4215822.34208224
19982870,native,26954888.856353592
19982870,aot,27443461.06557377
19617278,native,37108180.97709924
19617278,aot,37984836.358778626
19491123,native,32918919.20261438
19491123,aot,33995615.406666666
19598635,native,26096765.15183246
19598635,aot,26517220.539325844
19515902,native,37454800.81481481
19515902,aot,37253828.45038168
19408267,native,36221099.683823526
19408267,aot,37101177.3115942
20222601,native,28863580.323699422
20222601,aot,28219055.397727273
19596899,native,36630635.75735294
19596899,aot,33710366.11486486
19020056,native,18566709.486792453
19020056,aot,19313121.225925926
20334440,native,16397457.854237288
20334440,aot,16645344.97153025
19835866,native,64626372.39473684
19835866,aot,64352373.013333336
20137633,native,20268693.31779661
20137633,aot,20907933.399193548
19656130,native,30156115.721212123
19656130,aot,30857800.62580645
19208775,native,14782870.307692308
19208775,aot,14102541.67142857
20100616,native,46570067.18095238
20100616,aot,46866707.190476194
20222601,native,29873150.245614037
20222601,aot,29363125.589285713
19596899,native,35823829.95
19596899,aot,32205301.111111112
19020056,native,18650308.413793102
19020056,aot,18497672.003703702
20334440,native,16486398.179310344
20334440,aot,16784340.07
20185672,native,38259459.7
20185672,aot,39185832.31538462
19988426,native,28107997.335227273
19988426,aot,29126724.26470588
19129943,native,24077022.049261082
19129943,aot,24151226.129353233
19906706,native,30767276.181818184
19906706,aot,30401226.251533743
19609351,native,10032328.993939394
19609351,aot,10181743.732038835
20308216,native,27427798.445086706
20308216,aot,27941142.41142857
19091080,native,37948458.353846155
19091080,aot,38365053.67460317
19082870,native,30725851.18404908
19082870,aot,30456038.938650306
19918588,native,32172891.405228756
19918588,aot,33475973.08275862
20165819,native,38741454.953125
20165819,aot,37213497.66923077
20318580,native,30458304.34355828
20318580,aot,30179474.251533743
20001538,native,30640631.377483442
20001538,aot,29992430.47878788
19270705,native,53268214.09677419
19270705,aot,54691643.406593405
19560218,native,46852119.883495145
19669675,native,47228765.70476191
19669675,aot,47729690.93
19506092,native,34909937.54109589
19506092,aot,33926178.15384615
19793713,native,33546610.405405406
19793713,aot,34185602.23287671
19619761,native,15164883.058651026
19619761,aot,14295182.25
19703818,native,18440376.06273063
19703818,aot,18297714.93283582
