block_num,run_type,exe_time
19617278,native,8354701.447841726
19617278,aot,7986445.376859504
19491123,native,5190259.663891779
19491123,aot,4891072.565922921
19598635,native,2387083.791706387
19598635,aot,2118105.8047138047
19515902,native,7120778.826470588
19515902,aot,6847891.652463382
19408267,native,6782011.218918919
19408267,aot,5897721.195121951
19626531,native,4746088.769886363
19626531,aot,4480146.852472758
20022440,native,2003255.04125817
20022440,aot,1767669.9166666667
19682729,native,5763415.757327081
19682729,aot,5296802.610132159
19716362,native,4320416.788596491
19716362,aot,3755204.0902723735
19767943,native,6086673.485882353
19767943,aot,5577636.096520763
20231938,native,3513354.2822523164
20231938,aot,3096584.1766990293
19054434,native,5219075.350746268
19054434,aot,4485707.775
19534614,native,4606211.15915628
19534614,aot,4243024.30092984
20334865,native,5281057.095948827
20334865,aot,4603248.99822695
19001369,native,2256119.6587914582
19001369,aot,2070331.6560298384
20354220,native,22782562.266666666
20354220,aot,19784950.748
20157824,native,4123546.763843648
20157824,aot,3593205.4507658645
19026936,native,786247.7008398036
19026936,aot,793796.3864511163
20207240,native,4621431.464655985
20207240,aot,4007554.6787778693
20048089,native,3957438.346655791
20048089,aot,3262397.2554054055
19664667,native,5615356.913137893
19664667,aot,5638921.011964108
19696562,native,3423432.4910958903
19696562,aot,3348855.7276239535
19963968,native,5305038.062165059
19963968,aot,4780722.801477377
19774613,native,3287537.994677312
19774613,aot,3221037.8227272728
19296341,native,6413644.367773678
19296341,aot,5494347.764639639
19277141,native,2368862.6050495943
19277141,aot,2076483.5253061224
19324752,native,2830169.400913764
19324752,aot,2610767.0654952074
19017156,native,2488976.9541375875
19017156,aot,2218090.3788979067
19047378,native,2958418.0047393367
19047378,aot,2753718.1264094957
19472793,native,6703308.039164491
19472793,aot,6542143.337662337
19802709,native,4358762.192997438
19802709,aot,3879617.356060606
19768691,native,341113.2859056806
19768691,aot,330560.3327424332
20076507,native,4871324.720906282
20076507,aot,4237080.722080137
19621721,native,2946972.0505456636
19621721,aot,2598856.357493188
20061158,native,6878517.803921568
20061158,aot,6685211.641666667
19752655,native,3134451.107692308
19752655,aot,2746218.872059667
19959028,native,2288210.6116236164
19959028,aot,2054560.4441666666
19879074,native,7285123.314456035
19879074,aot,8210754.218266254
19907113,native,9610193.446393762
19907113,aot,7775252.595348837
19790294,native,4994179.741308793
19790294,aot,4474250.921367521
19042309,native,1944196.6003898636
19042309,aot,1649248.6786427146
19245449,native,1861751.8107709333
19245449,aot,1685980.7316666667
20242701,native,3438825.490450205
20242701,aot,3513202.8934993083
19967150,native,4138103.5730706076
19967150,aot,3669526.453411592
19299733,native,3410538.6884272997
19299733,aot,3059365.902469136
20335295,native,4305158.520034843
20335295,aot,3451756.1500682128
20001566,native,3049202.018235294
20001566,aot,2676184.490745637
20170168,native,7711781.41781874
20170168,aot,8049902.357487923
20046428,native,4890369.288367546
20046428,aot,4460967.746902655
19234089,native,1977442.8576200418
19234089,aot,1969716.3959231675
20339257,native,2539762.913265306
20339257,aot,2224380.245777778
19201337,native,5863676.06991261
19201337,aot,5797936.68313253
19278093,native,4247993.21147541
19278093,aot,3986884.4320060103
19070549,native,3885737.5249406174
19070549,aot,3593648.0793871866
19293094,native,2064968.8644781145
19293094,aot,1878221.4630489112
20157109,native,27793442.78888889
20157109,aot,27601668.370165747
19683093,native,9896452.045081967
19683093,aot,10276264.864097362
19972878,native,4085698.215733982
19972878,aot,3647483.6321506156
19545386,native,4555565.924651163
19545386,aot,4237766.979274611
19817114,native,6726172.611570248
19817114,aot,6361171.895
19252779,native,5722018.9988137605
19252779,aot,5747297.65539112
19221165,native,5123156.2289282
19221165,aot,4719183.036764706
19895490,native,3897940.678764479
19895490,aot,3432582.9690140844
20010693,native,5921396.590069284
20010693,aot,4798832.936170213
19974442,native,5935800.784009547
19974442,aot,6029223.135980746
19874228,native,451751.7039891206
19874228,aot,443120.5441252812
19302410,native,4745664.19488189
19302410,aot,4968996.32
20314454,native,12754095.548969071
20314454,aot,12528217.707253886
19278030,native,5019046.384057971
19278030,aot,4893390.547906977
19164574,native,2510725.59
19409018,native,3893154.614641995
19409018,aot,3678748.0355113638
20187341,native,2796436.3987450087
20187341,aot,2593794.886764706
19795990,native,324108.4294768156
19795990,aot,317187.2550452781
20296796,native,4708603.724388032
20296796,aot,4311167.887650086
19037962,native,6822773.358229599
20222601,native,3976992.9638752053
20222601,aot,3424376.251962884
20347969,native,7153409.488111888
20347969,aot,6899014.7467532465
20004157,native,312988.91731858643
20004157,aot,310169.4570996979
19340038,native,7394110.371888726
19340038,aot,7179888.253644315
20184645,native,3314255.676430518
20184645,aot,2997277.66091954
19156234,native,32927812.14864865
19340459,native,8901741.067961166
19340459,aot,9055554.813993175
19284608,native,3918090.4485467398
19284608,aot,3538910.0528169014
20193615,native,7984023.351393189
20193615,aot,6969777.267409471
19524944,native,3226109.88707483
19524944,aot,3030461.121764706
19758923,native,286606.96736569953
19758923,aot,240405.441728963
20096957,native,9479173.096078431
20096957,aot,9728095.605454545
20206352,native,5606282.67207416
20206352,aot,5053488.261
19038921,native,3225957.8471760796
19038921,aot,2866457.4630057802
19378502,native,3024996.0217256364
19378502,aot,2807620.7433184856
19085089,native,5164395.728194727
19085089,aot,4956141.906551059
19508325,native,4172782.3767634854
19508325,aot,3831762.794095941
20041304,native,3988702.002469136
20041304,aot,3659259.335479256
