block_num,run_type,exe_time
19695881,jit,44120.49038
19695881,aot,44219.3622
19695881,native,43886.33453
19823004,jit,46096.80669
19823004,aot,45990.48644
19823004,native,45924.82519
19485913,jit,45043.41246
19485913,aot,44919.14939
19485913,native,44924.05877
20170635,jit,44688.1822
20170635,aot,44720.31451
20170635,native,44737.75693
19922813,jit,46696.24122
19922813,aot,46682.9559
19922813,native,46804.65019
19860261,jit,46284.24357
19860261,aot,46327.34557
19860261,native,46121.45459
20174505,jit,45150.49812
20174505,aot,45195.57458
20174505,native,45103.15048
19171400,jit,49234.95631
19171400,aot,49341.29191
19171400,native,49377.76039
19675097,jit,50867.54142
19675097,aot,50841.93072
19675097,native,50862.94906
19265921,jit,45572.89392
19265921,aot,45606.99639
19265921,native,45704.29278
20054299,jit,61516.45027
20054299,aot,61708.22338
20054299,native,61814.76921
19627585,jit,44834.93287
19627585,aot,44838.22975
19627585,native,44904.17195
19827195,jit,53780.49441
19827195,aot,53841.49048
19827195,native,53810.30018
20345689,jit,46331.76157
20345689,aot,46299.98861
20345689,native,46275.02393
19629838,jit,45990.10165
19629838,aot,45994.87835
19629838,native,46032.23118
19265569,jit,47655.57746
19265569,aot,47635.7034
19265569,native,47614.1632
19575167,jit,46153.42836
19575167,aot,46610.52935
19575167,native,46464.82685
19488642,jit,48517.20189
19488642,aot,48533.37356
19488642,native,48361.16457
20175267,jit,45397.39873
20175267,aot,45257.18596
20175267,native,45428.44733
19609942,jit,50114.10425
19609942,aot,47060.00939
19609942,native,45713.49156
19669776,jit,47603.88577
19669776,aot,47381.25713
19669776,native,47234.61119
20018768,jit,51387.07863
20018768,aot,51449.78606
20018768,native,51423.58368
19684649,jit,45890.14238
19684649,aot,45767.8659
19684649,native,45875.07263
19295332,jit,49175.65284
19295332,aot,49063.20648
19295332,native,49042.95533
20114451,jit,49699.33797
20114451,aot,50104.95243
20114451,native,49901.30212
19519593,jit,45329.58419
19519593,aot,45120.58159
19519593,native,45047.17662
19086587,jit,48022.22882
19086587,aot,47985.56233
19086587,native,48022.34684
19457414,jit,44704.71515
19457414,aot,44627.23307
19457414,native,44557.60736
19837397,jit,48512.91009
19837397,aot,48340.0161
19837397,native,48238.22343
19872480,jit,46534.89322
19872480,aot,46205.89851
19872480,native,46110.37761
20136923,jit,45957.40207
20136923,aot,45876.43264
20136923,native,46200.29038
20204674,jit,64157.91071
20204674,aot,64154.97446
20204674,native,64041.52098
19893707,jit,46998.64555
19893707,aot,47001.50785
19893707,native,46888.97742
19655849,jit,48300.74641
19655849,aot,48111.72694
19655849,native,48254.93144
20120480,jit,46706.18082
20120480,aot,46682.01813
20120480,native,46885.17018
20309781,jit,45906.32055
20309781,aot,45935.77198
20309781,native,45869.92466
19099163,jit,47464.96717
19099163,aot,47870.40692
19099163,native,47583.35627
19106701,jit,44494.28271
19106701,aot,44592.47836
19106701,native,44442.08566
19514449,jit,50368.49196
19514449,aot,56148.58413
19514449,native,61627.81689
19007540,jit,49107.47581
19007540,aot,49759.13501
19007540,native,45765.19237
19457002,jit,47879.48218
19457002,aot,47948.56085
19457002,native,47953.28488
19599610,jit,45755.16341
19599610,aot,45673.79323
19599610,native,45686.11596
19107289,jit,59501.87064
19107289,aot,59341.65735
19107289,native,59498.05994
19131985,jit,55591.44581
19131985,aot,55648.0255
19131985,native,55635.26315
19974474,jit,46192.22937
19974474,aot,46305.82998
19974474,native,46442.09894
19930010,jit,44818.74807
19930010,aot,44869.12083
19930010,native,44860.70623
19668234,jit,44525.36073
19668234,aot,44527.44892
19668234,native,44552.15166
19448267,jit,50497.78487
19448267,aot,50431.77716
19448267,native,50489.44323
20230233,jit,46264.57968
20230233,aot,46102.15096
20230233,native,46052.06373
19036572,jit,44260.50513
19036572,aot,44281.88804
19036572,native,44335.15247
20143701,jit,47435.62379
20143701,aot,47280.33294
20143701,native,47235.56366
20213227,jit,54272.43079
20213227,aot,54031.87999
20213227,native,54109.20193
19706806,jit,46198.48883
19706806,aot,46354.85148
19706806,native,46187.02676
19394269,jit,45625.75201
19394269,aot,45485.50235
19394269,native,45652.01668
20097745,jit,55318.47006
20097745,aot,55192.78138
20097745,native,55238.15603
19232447,jit,47411.72421
19232447,aot,46995.92975
19232447,native,47153.60328
19793572,jit,44064.72331
19793572,aot,44016.72963
19793572,native,44043.10685
19339210,jit,45316.32934
19339210,aot,45410.40777
19339210,native,45381.73418
19341015,jit,44551.80589
19341015,aot,44425.1733
19341015,native,44574.38059
20287285,jit,44446.97427
20287285,aot,44484.8914
20287285,native,44507.27412
20056214,jit,45960.53087
20056214,aot,45947.5227
20056214,native,46064.75577
20357873,jit,45180.74816
20357873,aot,45157.93555
20357873,native,45110.09671
19228301,jit,45053.49808
19228301,aot,45404.42487
19228301,native,45471.1496
20296733,jit,44963.65771
20296733,aot,44846.74486
20296733,native,45132.27313
20329269,jit,49269.57779
20329269,aot,49035.41543
20329269,native,49186.36148
20235107,jit,49373.39268
20235107,aot,49182.96656
20235107,native,49224.17561
19717456,jit,45670.66624
19717456,aot,45602.78656
19717456,native,45640.17851
20198333,jit,44015.1905
20198333,aot,43959.54273
20198333,native,43990.38227
19356553,jit,47188.017
19356553,aot,46837.5238
19356553,native,46847.22299
19579638,jit,49302.50758
19579638,aot,48946.59503
19579638,native,49035.75592
19176811,jit,46703.99215
19176811,aot,46378.57586
19176811,native,46267.41776
20324664,jit,65073.58444
20324664,aot,65031.82244
20324664,native,65073.25903
19182072,jit,44277.37166
19182072,aot,44242.56448
19182072,native,44329.41834
20062042,jit,45262.85368
20062042,aot,45367.18833
20062042,native,45283.09564
20269226,jit,46109.33327
20269226,aot,46269.4824
20269226,native,46126.44725
19967368,jit,46770.84308
19967368,aot,46793.38932
19967368,native,46837.10642
19954513,jit,45148.51994
19954513,aot,45248.58765
19954513,native,45191.30762
19312606,jit,48886.54023
19312606,aot,48849.2375
19312606,native,48876.92774
19084785,jit,47754.09466
19084785,aot,47542.58304
19084785,native,47553.41246
20137983,jit,45862.78042
20137983,aot,45688.4475
20137983,native,45658.50605
19600273,jit,48002.36211
19600273,aot,48041.41855
19600273,native,48241.45044
19116058,jit,45205.21819
19116058,aot,44884.23171
19116058,native,44869.12357
19958520,jit,44276.92321
19958520,aot,44281.62575
19958520,native,44266.21872
19317795,jit,109390.1925
19317795,aot,108821.41849
19317795,native,109258.88115
20105026,jit,45101.07214
20105026,aot,45198.09196
20105026,native,45041.08165
19992381,jit,46447.72418
19992381,aot,46312.7961
19992381,native,46354.52427
19531271,jit,46540.93295
19531271,aot,46613.17218
19531271,native,46518.00354
19121427,jit,53515.80071
19121427,aot,53533.15244
19121427,native,53435.05744
20010983,jit,50550.37348
20010983,aot,50680.50964
20010983,native,50625.35042
19288790,jit,44913.6025
19288790,aot,44898.6492
19288790,native,44983.08634
19764401,jit,45477.94188
19764401,aot,45471.23686
19764401,native,45429.92826
19153781,jit,45322.62063
19153781,aot,45225.09131
19153781,native,45279.72717
20162180,jit,45797.98264
20162180,aot,45739.09212
20162180,native,45850.32925
19293101,jit,49363.86994
19293101,aot,49276.46413
19293101,native,49260.18138
19724030,jit,50669.86405
19724030,aot,50374.46737
19724030,native,50355.66726
19384305,jit,45741.02459
19384305,aot,45646.03821
19384305,native,45610.47434
20277510,jit,46806.54973
20277510,aot,46829.40416
20277510,native,46787.12372
20047532,jit,45141.66525
20047532,aot,45090.70732
20047532,native,45324.80133
19198392,jit,45779.29629
19198392,aot,46086.28721
19198392,native,45863.47177
19060736,jit,44861.507
19060736,aot,44921.46373
19060736,native,44816.27178
19622740,jit,49470.42478
19622740,aot,49459.98214
19622740,native,49300.1907
19167607,jit,46565.18103
19167607,aot,46663.85164
19167607,native,46719.64062
19106884,jit,44912.30204
19106884,aot,44531.76872
19106884,native,44493.06717
20157737,jit,48291.03588
20157737,aot,48227.28423
20157737,native,48314.82485
19900178,jit,44264.22167
19900178,aot,44314.08466
19900178,native,44436.52137
19116425,jit,47547.59638
19116425,aot,47583.44787
19116425,native,47503.44273
20348989,jit,45841.48051
20348989,aot,46003.05395
20348989,native,45829.81286
19052093,jit,45129.34892
19052093,aot,45234.7956
19052093,native,45810.24541
19031868,jit,50670.69167
19031868,aot,50349.62828
19031868,native,50440.47799
20136581,jit,50590.37668
20136581,aot,50402.33051
20136581,native,50383.00959
20043737,jit,46572.40023
20043737,aot,46377.78855
20043737,native,46300.8474
19309096,jit,46821.02886
19309096,aot,47021.29468
19309096,native,46944.47546
19617700,jit,46911.08485
19617700,aot,46955.10718
19617700,native,46848.10673
19118209,jit,45382.93168
19118209,aot,45362.60767
19118209,native,45342.20268
19509248,jit,49489.58916
19509248,aot,49374.01881
19509248,native,49381.21036
19701142,jit,68435.5451
19701142,aot,68251.61478
19701142,native,68359.31956
19294003,jit,46961.50349
19294003,aot,46887.17889
19294003,native,47049.40032
19161456,jit,46749.58584
19161456,aot,46531.32979
19161456,native,46744.01049
19690027,jit,46370.60444
19690027,aot,46358.63999
19690027,native,46275.25781
20297292,jit,65227.75967
20297292,aot,65222.16201
20297292,native,65570.47843
19217407,jit,46143.80533
19217407,aot,46215.29797
19217407,native,46141.35109
19534798,jit,47062.11754
19534798,aot,47060.46421
19534798,native,46926.0477
19676696,jit,52030.46659
19676696,aot,51886.17184
19676696,native,51919.22933
20210306,jit,46133.29174
20210306,aot,45902.30021
20210306,native,45900.59189
20310776,jit,50949.31291
20310776,aot,51160.04987
20310776,native,51006.86956
19752747,jit,45868.21176
19752747,aot,45962.04804
19752747,native,45841.52561
19033008,jit,48214.69115
19033008,aot,48149.82622
19033008,native,48194.67787
19398537,jit,48569.03332
19398537,aot,48604.84521
19398537,native,48545.96845
19369152,jit,48277.10693
19369152,aot,48042.04735
19369152,native,48093.38845
19700037,jit,46351.67074
19700037,aot,46369.48889
19700037,native,46300.41842
20261490,jit,47560.35417
20261490,aot,48034.40529
20261490,native,47718.78605
20297885,jit,47339.06122
20297885,aot,47634.40232
20297885,native,47515.08952
19157835,jit,48207.8178
19157835,aot,48148.33702
19157835,native,48144.5722
20349506,jit,53522.88666
20349506,aot,53558.30988
20349506,native,53553.53149
19634710,jit,59937.52951
19634710,aot,59764.90375
19634710,native,59861.32362
19253490,jit,46238.14599
19253490,aot,46330.36933
19253490,native,46203.30236
19120872,jit,49263.43722
19120872,aot,49153.38678
19120872,native,49328.36148
19100326,jit,44706.60197
19100326,aot,44707.05058
19100326,native,44583.03585
19969615,jit,46655.84214
19969615,aot,46537.62277
19969615,native,46530.42635
19490799,jit,45782.0249
19490799,aot,45754.46447
19490799,native,45776.17859
19927234,jit,46056.94948
19927234,aot,45988.554
19927234,native,46063.5815
19292091,jit,50861.98044
19292091,aot,50674.98113
19292091,native,50723.6729
19859252,jit,61562.05521
19859252,aot,61634.85487
19859252,native,61521.11011
20089148,jit,46098.38844
20089148,aot,45969.92888
20089148,native,45921.59917
19054557,jit,45872.82857
19054557,aot,45739.9986
19054557,native,45821.0108
19489063,jit,46798.28277
19489063,aot,46446.81599
19489063,native,46542.19764
19820647,jit,44970.03425
19820647,aot,45104.65229
19820647,native,45374.50148
19614824,jit,47632.63065
19614824,aot,47456.98127
19614824,native,47577.41311
19301352,jit,45767.27388
19301352,aot,45506.08495
19301352,native,45610.75616
20307280,jit,55442.693
