id,run_type,exe_time,err
20675609,native,27625425.24375,
20678750,native,26314992.588235293,
20675948,native,31737123.561643835,
20675375,native,24834624.757894736,
20678796,native,33417688.471428573,
20675585,native,40444704.08695652,
20675620,native,24165399.56,
20680625,native,19728503.096,
20679312,native,41764288.47826087,
20679687,native,21838051.951754387,
20679593,native,38130738.9047619,
20675773,native,45486254.19811321,
20675632,native,34975947.42553192,
20675562,native,18630159.105454545,
20675796,native,31892735.03164557,
20675468,native,46839456.00952381,
20675843,native,53132610.65591398,
20675984,native,18349335.110320285,
20675515,native,4378430.7575,
20675573,native,13590168.018134715,
20675960,native,71487922.75757575,
20677062,native,54241062.96703297,
20676125,native,43819920.02586207,
20677156,native,56013537.03333333,
20675656,native,64266925.37179487,
20675582,native,39663646.140625,
20676875,native,19204774.73090909,
20675579,native,56936169.69318182,
20679875,native,36480927.79432624,
20676031,native,45360763.28828829,
20678937,native,44526708.15652174,
20675937,native,44263800.94782609,
20677250,native,54092872.89247312,
20675491,native,52962199.74736842,
20678375,native,60787678.915662654,
20678843,native,14253650.317585303,
20677625,native,13973345.825641025,
20677109,native,54298916.8,
20679500,native,47637627.11111111,
20675576,native,47930451.8018018,
20675479,native,77596251.0,
20680250,native,46979794.345132746,
20679125,native,37471911.179310344,
20676066,native,14790547.145780051,
20676078,native,76038746.24285714,
20675750,native,21767443.596226417,
20676054,native,36224731.607361965,
20675610,native,27668353.286516853,
20675844,native,5555244.09135201,
20675376,native,54647968.44444445,
20679594,native,35471827.05263158,
20679313,native,30335781.082278483,
20675938,native,37003943.56910569,
20678751,native,45538487.04424779,
20677157,native,37577975.65873016,
20675949,native,44502980.58260869,
20675469,native,47383158.57281554,
20675657,native,18679465.452471483,
20678844,native,50605523.03296703,
20675633,native,41307674.65,
20678797,native,44039197.49152543,
20675580,native,29590346.92121212,
20675985,native,36420274.294117644,
20679688,native,43132742.80508474,
20680626,native,63430337.7875,
20675961,native,27983321.994444445,
20675492,native,28846177.432748538,
20675586,native,39670348.198529415,
20675621,native,35459909.37086093,
20675774,native,70891110.53521127,
20675797,native,55994723.28571428,
20678376,native,37210822.007407404,
20677110,native,27927075.122222222,
20679876,native,48496015.02857143,
20675563,native,46970030.088495575,
20675574,native,58834369.05681818,
20677251,native,33246756.20261438,
20676876,native,47435975.13888889,
20677063,native,36282978.365517244,
20680251,native,35992192.70289855,
20677626,native,70184309.54411764,
20676126,native,41391097.828125,
20678938,native,41234849.99206349,
20679501,native,39748206.44274809,
20675516,native,76107190.89393939,
20675751,native,3552340.389200561,
20675583,native,33351636.75301205,
20675480,native,48523557.62264151,
20679126,native,32049722.95180723,
20675577,native,46119699.8220339,
20676079,native,35596889.873333335,
20676067,native,63652415.62962963,
20676055,native,58996898.65116279,
20676032,native,69757718.45454545,
20675939,native,33509448.88429752,
20675611,native,39839155.71544716,
20675775,native,27202572.5,
20679595,native,34180342.673758864,
20678845,native,46182541.51578947,
20675634,native,31461705.743243244,
20678798,native,40650772.64347826,
20679314,native,33991923.47972973,
20675845,native,59572825.755813956,
20675950,native,42848664.017699115,
20678752,native,45444330.10810811,
20677158,native,36727007.88148148,
20675377,native,38998151.91851852,
20677064,native,28793580.234177217,
20675470,native,58418096.2,
20676877,native,4265.661304476016,
20675587,native,25527771.112244897,
20675658,native,51959310.21428572,
20680627,native,47335527.81132075,
20675798,native,60174695.74074074,
20678939,native,43102275.87962963,
20675986,native,52728696.663157895,
20675493,native,25197246.775609758,
20677252,native,24035889.125,
20675564,native,43412949.763636366,
20675575,native,65428839.30263158,
20680252,native,30439571.90797546,
20679502,native,43772080.18918919,
20678377,native,56010691.296703294,
20679689,native,43153735.61904762,
20679877,native,62125892.43209877,
20675622,native,48652425.28181818,
20677627,native,46110465.324324325,
20675581,native,70737446.44871795,
20676127,native,57249318.19318182,
20677111,native,65457712.85,
20675517,native,33570653.58064516,
20675481,native,45616807.7079646,
20676080,native,31875567.69620253,
20675962,native,79947268.02816902,
20676068,native,38732660.66923077,
20675584,native,69216526.09210527,
20679127,native,16809881.18731118,
20675752,native,82600269.53968254,
20675578,native,36626946.90066225,
20676056,native,45228952.28828829,
20676033,native,46032727.37037037,
20675940,native,32703739.093333334,
20675635,native,55575223.2962963,
20680253,native,16920827.359183673,
20675776,native,56059060.85227273,
20678846,native,28630904.59659091,
20679596,native,33189327.387096774,
20675612,native,27951021.99,
20678753,native,27325945.486486487,
20677065,native,50094198.231578946,
20675378,native,55349358.04545455,
20678799,native,44486550.36521739,
20675951,native,42518307.125,
20677159,native,38173520.80916031,
20678940,native,43183862.28318584,
20677253,native,54838118.31764706,
20680628,native,19530292.130268198,
20676878,native,53576039.21052632,
20675471,native,38206595.822222225,
20675659,native,43169552.68965517,
20675799,native,51101143.071428575,
20679315,native,59092310.47311828,
20675494,native,64845740.19736842,
20675565,native,37677321.481481485,
20675846,native,64795953.78823529,
20679690,native,30547213.633540373,
20675972,native,52824194.10752688,
20677628,native,49586173.03157895,
20678378,native,48372678.83495145,
20679878,native,22589950.133333333,
20679503,native,42383882.19491526,
20675588,native,64967634.12048193,
20675987,native,82839559.27868852,
20676128,native,33391022.277027026,
20675503,native,24266801.32795699,
20677112,native,42055471.516949154,
20675518,native,42391188.89830509,
20675753,native,52949306.67469879,
20676081,native,5418047.275268817,
20675963,native,35866464.180451125,
20675482,native,47798310.77142857,
20675644,native,52969407.6,
20676069,native,57747068.92941176,
20675623,native,44640747.104,
20679128,native,58295181.270588234,
20676034,native,35593394.92028985,
20676057,native,29505806.41142857,
20678890,native,45478367.27927928,
20675941,native,31764852.613496933,
20675636,native,29233728.17919075,
20678800,native,8867903.305555556,
20675777,native,55264929.29032258,
20678847,native,58182828.55681818,
20675379,native,31527209.76875,
20680254,native,49494504.8490566,
20675613,native,40940677.24,
20677066,native,56215475.0,
20679597,native,43466921.075,
20678941,native,16110924.307936508,
20677254,native,37449857.4962406,
20675660,native,31877127.348101266,
20675952,native,70598805.9589041,
20677160,native,69950741.24657534,
20675589,native,26610081.327777777,
20675472,native,45787069.38938053,
20679504,native,33756343.14685315,
20679691,native,43231681.85217391,
20678754,native,88130961.53333333,
20680629,native,55529305.451612905,
20675847,native,27299777.8,
20679316,native,38763699.0,
20676879,native,71788965.89041096,
20677629,native,47875464.28571428,
20675800,native,45709957.45762712,
20675566,native,61183100.54216868,
20676070,native,9436.578565207665,
20675973,native,54022096.489795916,
20675504,native,26269510.589743588,
20675964,native,34944185.217391305,
20675988,native,40424117.4609375,
20676129,native,33368616.51633987,
20679879,native,44406310.66949152,
20675495,native,42677297.65625,
20677113,native,41953880.00813008,
20675519,native,41815158.416666664,
20675754,native,34413531.397351,
20678379,native,103341575.82,
20676082,native,55227142.93333333,
20675624,native,42435278.55932204,
20675483,native,52003788.71287129,
20679129,native,39013014.8015873,
20675645,native,59612085.90909091,
20676058,native,56608601.176470585,
20676035,native,55321397.104166664,
20678891,native,15359224.067039106,
20675778,native,17328361.6640625,
20675942,native,78835915.41666667,
20675637,native,39889113.309523806,
20679598,native,34031663.25,
20678801,native,85112670.83928572,
20678848,native,52078342.07368421,
20680255,native,50906398.635416664,
20677067,native,47388265.0754717,
20675380,native,42683665.050847456,
20675614,native,51207627.93,
20675661,native,45779059.25471698,
20677255,native,50584869.25,
20678942,native,55808584.72527473,
20677161,native,36579030.3382353,
20675848,native,4423466.680679785,
20675953,native,35442714.79452055,
20680630,native,22445335.74208145,
